Zipcode,Deliveries,Failed,Area,x_centroid,y_centroid,Dist,Price
4090,0,0,0,5.6770272,50.6540375,,
4670,0,0,0,5.7339501,50.6828423,,
4671,0,0,0,5.6844702,50.6630898,,
4672,0,0,0,5.7071867,50.6933784,,
4400,0,0,0,5.4411836,50.5970192,,
4120,0,0,0,5.4752731,50.5350685,,
4121,0,0,0,5.4699688,50.5542259,,
4122,0,0,0,5.5279565,50.5438461,,
4870,0,0,0,5.7075505,50.5681076,,
6700,0,0,0,5.7686253,49.6774139,,
6704,0,0,0,5.8586612,49.7124138,,
6706,0,0,0,5.8621597,49.6543159,,
6717,0,0,0,5.7575374,49.7454605,,
6790,0,0,0,5.8045831,49.5658913,,
6791,0,0,0,5.8440495,49.5707092,,
6792,0,0,0,5.7476454,49.5786972,,
6630,0,0,0,5.7249732,49.8111763,,
6780,0,0,0,5.8185287,49.6170654,,
6781,0,0,0,5.8550148,49.6117134,,
6782,0,0,0,5.7646065,49.6101532,,
6600,0,0,0,5.761621,50.0157166,,
6686,0,0,0,5.6065564,50.0634499,,
6687,0,0,0,5.6782203,50.0897827,,
6688,0,0,0,5.6707258,50.042572,,
6637,0,0,0,5.6966457,49.8770332,,
6660,0,0,0,5.71069,50.1479988,,
6661,0,0,0,5.7756596,50.1796799,,
6662,0,0,0,5.8440442,50.1045952,,
6663,0,0,0,5.729322,50.1134338,,
6666,0,0,0,5.7210088,50.1676674,,
6690,0,0,0,5.8549919,50.2636414,,
6692,0,0,0,5.988121,50.2811813,,
6698,0,0,0,5.9074235,50.3237305,,
6640,0,0,0,5.6193228,49.9433632,,
6642,0,0,0,5.5459633,49.8909416,,
6670,0,0,0,5.9240966,50.1553841,,
6671,0,0,0,5.929656,50.2272606,,
6672,0,0,0,5.9950395,50.2029495,,
6673,0,0,0,5.8712301,50.1711426,,
6674,0,0,0,5.839097,50.2077637,,
6680,0,0,0,5.5526614,50.0117607,,
6681,0,0,0,5.4803624,50.0502663,,
6940,0,0,0,5.4592438,50.3360405,,
6941,0,0,0,5.5118003,50.3806152,,
6997,0,0,0,5.5578575,50.2965164,,
6990,0,0,0,5.4327302,50.2674637,,
6980,0,0,0,5.5586038,50.1707687,,
6982,0,0,0,5.6706743,50.20224,,
6983,0,0,0,5.6286607,50.130188,,
6984,0,0,0,5.5743155,50.1498413,,
6986,0,0,0,5.5090699,50.1737633,,
6900,0,0,0,5.3436456,50.2092667,,
6950,0,0,0,5.3638206,50.1384201,,
6951,0,0,0,5.4308267,50.1456375,,
6952,0,0,0,5.3926706,50.1459694,,
6953,0,0,0,5.3030047,50.1264534,,
6987,0,0,0,5.5177011,50.2187462,,
6970,0,0,0,5.4602613,50.083931,,
6971,0,0,0,5.4837623,50.1174202,,
6972,0,0,0,5.5538688,50.1123314,,
6960,0,0,0,5.6629844,50.2892189,,
